"","objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
"9028",1237648720691265536,174.066826408421,-0.475129299600941,20.29891,20.22913,20.20507,20.08496,20.04749,756,301,2,389,317545033232312320,"QSO",2.080294,282,51658,150
"9029",1237648720691265536,174.069039232762,-0.445230703251848,19.30972,19.17633,19.16252,19.01689,19.03368,756,301,2,389,317544758354405376,"QSO",1.762747,282,51658,149
"9030",1237648720691200000,173.845667237385,-0.49932149789763,17.78737,17.7185,17.66201,17.79523,17.77892,756,301,2,388,317557402738124800,"QSO",0.9559311,282,51658,195
"9031",1237648720691134720,173.792823415464,-0.599521672297345,20.42395,20.05596,20.03411,19.73024,19.72829,756,301,2,387,317553554447427584,"QSO",1.727543,282,51658,181
"9032",1237648720691069184,173.549617113674,-0.537830795793051,21.948,21.08072,21.25532,21.11594,20.50045,756,301,2,386,4323516208932429824,"QSO",2.255773,3840,55574,220
"9033",1237648720691069184,173.634683606624,-0.598677083851134,20.74254,20.20893,20.06401,20.13246,20.00904,756,301,2,386,4323505213816152064,"QSO",2.551025,3840,55574,180
"9034",1237648720690938112,173.346474587063,-0.558925340327829,22.04066,21.57801,21.73864,21.67856,21.05893,756,301,2,384,4266282775298940928,"QSO",2.173286,3789,55269,902
"9035",1237648720690872576,173.144285227201,-0.596544247801325,19.37631,19.42547,19.45366,19.28736,19.17858,756,301,2,383,317576919069517824,"QSO",1.934764,282,51658,266
"9036",1237648720690872320,173.105020853651,-0.491103625767966,19.05254,19.02177,18.93165,18.81384,18.62225,756,301,2,383,316384497970997248,"QSO",2.015256,281,51614,24
"9037",1237648720690741248,172.798784605528,-0.554587360003452,19.52828,19.46375,19.28571,19.19339,19.23166,756,301,2,381,3640183739583143936,"QSO",1.476645,3233,54891,543
"9038",1237648720690675968,172.655243265511,-0.509451896680232,22.48968,21.88121,22.0633,22.0453,21.11747,756,301,2,380,4323560739153354752,"QSO",1.722451,3840,55574,382
"9039",1237648720690675712,172.674993872865,-0.490528622520284,21.53203,19.71372,19.31026,19.18344,19.05396,756,301,2,380,4266250889461735424,"QSO",2.990811,3789,55269,786
"9040",1237648720690610944,172.640856489376,-0.564655031855816,23.51295,21.6472,21.36845,21.15862,21.24687,756,301,2,379,4322331485170278400,"QSO",1.243116,3839,55575,6
"9041",1237648720690610944,172.608792724967,-0.466014316436576,24.08663,22.01951,21.72448,21.48523,21.20807,756,301,2,379,4322330385658650624,"QSO",1.243173,3839,55575,2
"9042",1237648720690544896,172.347915214594,-0.459942207564529,23.26274,21.3756,21.16158,21.17848,20.66253,756,301,2,378,4266228349473366016,"QSO",2.604032,3789,55269,704
"9043",1237648720690544896,172.47013048501,-0.534932752696313,20.0579,19.49898,19.43769,19.4518,19.20696,756,301,2,378,4266241543612899328,"QSO",2.480247,3789,55269,752
"9044",1237648720690479360,172.314768209784,-0.587949918694108,20.20927,19.63968,19.59117,19.62675,19.40072,756,301,2,377,4323581629874282496,"QSO",2.423282,3840,55574,458
"9045",1237648720690348288,172.000367103817,-0.435168984325235,20.22032,19.78667,19.75554,19.65756,19.45701,756,301,2,375,4323591525478932480,"QSO",2.234373,3840,55574,494
"9046",1237648720690283008,171.868288483958,-0.56338004194471,21.47729,20.70811,20.59789,20.57222,20.429,756,301,2,374,4266195913880346624,"QSO",2.606125,3789,55269,586
"9047",1237648720690282752,171.799049089664,-0.54971105193269,22.08459,21.33626,21.15895,21.17108,20.99984,756,301,2,374,4266195364124532736,"QSO",1.280599,3789,55269,584
"9048",1237648720690151680,171.487661363067,-0.424746971221649,21.43806,20.58277,20.07298,19.89269,19.49016,756,301,2,372,4322388659774922752,"QSO",2.470099,3839,55575,214
"9049",1237648720690020608,171.235086288848,-0.580849070768606,21.57844,20.77077,20.83486,20.69605,20.30658,756,301,2,370,4322399105135386624,"QSO",2.206132,3839,55575,252
"9050",1237648720690020608,171.165803148106,-0.432759856928935,21.26801,20.76153,20.74304,20.54996,20.255,756,301,2,370,4322402403670269952,"QSO",2.248959,3839,55575,264
"9051",1237648720689955328,171.124877330231,-0.52881018400647,22.01114,21.3905,21.28349,21.23429,20.94689,756,301,2,369,4249384380672221184,"QSO",2.761498,3774,55244,866
"9052",1237648720689955072,171.065067292947,-0.446554569313143,19.25748,19.19962,18.96415,18.89772,18.91018,756,301,2,369,315267669001529344,"QSO",1.409506,280,51612,57
"9053",1237648720689889792,170.898735612796,-0.441142647644164,24.34906,21.26384,20.72381,20.66055,20.30893,756,301,2,368,4249374759945478144,"QSO",3.349192,3774,55244,831
"9054",1237648720689824000,170.841979400349,-0.464396937218948,20.42577,20.24918,19.99957,19.7073,19.54637,756,301,2,367,316452117936105472,"QSO",0.7802871,281,51614,270
"9055",1237648720689758720,170.584803476874,-0.590618441780636,23.24986,21.51817,21.10905,21.02718,20.92264,756,301,2,366,4321210533283864576,"QSO",1.237954,3838,55588,24
"9056",1237648720689758464,170.644964872915,-0.537359556220941,22.38727,21.66704,21.83389,21.42761,22.04728,756,301,2,366,4321212182551306240,"QSO",1.873404,3838,55588,30
"9057",1237648720689758464,170.61103019002,-0.426657635889534,22.17694,21.70932,21.60348,21.65503,21.23391,756,301,2,366,4249350295811760128,"QSO",2.707526,3774,55244,742
"9058",1237648720689692928,170.424381639838,-0.591152159195462,21.55637,20.67498,20.51039,20.45087,20.37531,756,301,2,365,4249340949962924032,"QSO",2.72028,3774,55244,708
"9059",1237648720689692928,170.48243504513,-0.481134029397097,20.12062,19.44253,19.14253,18.78104,18.66759,756,301,2,365,4321209708650143744,"QSO",0.592437,3838,55588,21
"9060",1237652900748197888,0.20066245717932,-9.90115845849761,19.67623,19.04513,18.37415,17.94633,17.78375,1729,301,4,84,731970765087336448,"QSO",0.2057329,650,52143,494
"9061",1237648720689627904,170.394036865812,-0.440567809000342,22.60693,21.48652,21.39794,21.5408,21.4493,756,301,2,364,4322449407792357376,"QSO",2.757284,3839,55575,435
"9062",1237648720689627392,170.334267247063,-0.505335396033697,22.2344,21.07613,21.16888,21.26658,20.56372,756,301,2,364,4321222902789677056,"QSO",2.428364,3838,55588,69
"9063",1237648720689430784,169.939349806032,-0.532487004697876,21.27506,20.71328,20.54056,20.66027,20.45431,756,301,2,361,4322462327053983744,"QSO",2.55337,3839,55575,482
"9064",1237648720689299968,169.546014062568,-0.56140671530174,23.00546,21.28815,20.33286,19.39413,18.77818,756,301,2,359,4321264684231532544,"QSO",0.6860849,3838,55588,221
"9065",1237648720689299712,169.571878309759,-0.453526775270886,21.48775,20.68752,20.60793,20.55552,20.10903,756,301,2,359,4321264959109439488,"QSO",3.252511,3838,55588,222
"9066",1237648720689234432,169.369700069473,-0.512139000888442,23.24752,22.22884,21.98562,21.57414,21.21679,756,301,2,358,4321275954225717248,"QSO",0.4960269,3838,55588,262
"9067",1237648720689168896,169.268787014643,-0.504925757831772,22.99581,21.72562,21.76028,21.6287,20.9814,756,301,2,357,4265167870122500096,"QSO",2.337792,3788,55246,942
"9068",1237648720689168896,169.253528089133,-0.561970127078219,23.15805,21.90219,21.48614,21.2101,20.7353,756,301,2,357,4265157424762036224,"QSO",1.534417,3788,55246,904
"9069",1237648720689103616,169.161430690587,-0.510578815454513,23.30587,21.93422,21.8375,21.8931,21.12694,756,301,2,356,4.321286949342e+18,"QSO",0.9315999,3838,55588,302
"9070",1237648720689103360,169.109204528777,-0.620307399879614,21.8665,20.9356,20.53239,20.46352,19.86577,756,301,2,356,4265158524273664000,"QSO",2.280974,3788,55246,908
"9071",1237648720688906752,168.658753737729,-0.593502786532942,24.7336,22.20494,21.43594,21.71743,21.27565,756,301,2,353,4265124439413202944,"QSO",3.436768,3788,55246,784
"9072",1237648720688906496,168.6662705111,-0.470726593442355,21.20638,20.65865,20.54017,20.24259,19.94893,756,301,2,353,4320078585794633728,"QSO",0.7316369,3837,55572,2
"9073",1237652900748918784,1.87893769105435,-9.97554533695905,19.73379,18.91302,18.35764,18.06003,17.74403,1729,301,4,95,8070505069223583744,"QSO",2.223206,7168,56625,198
"9074",1237648720688841472,168.592753490552,-0.552785984969432,25.26331,22.54118,21.54463,21.66172,21.56089,756,301,2,352,4320081334573703168,"QSO",1.069942,3837,55572,12
"9075",1237648720688841216,168.477617790014,-0.481475097035021,21.80074,22.38255,20.69672,19.55478,19.45552,756,301,2,352,4321319934690828288,"QSO",1.053768,3838,55588,422
"9076",1237648720688840704,168.461856146074,-0.583930052618913,22.83481,20.84419,20.49954,20.44511,21.70717,756,301,2,352,4320085732620214272,"QSO",1.81612,3837,55572,28
"9077",1237648720688775936,168.452240972967,-0.437104336383947,23.2631,21.54727,19.96117,19.192,18.87461,756,301,2,351,4320083808474865664,"QSO",1.280545,3837,55572,21
"9078",1237648720688775680,168.378745584861,-0.497992158313118,22.39786,22.41518,20.67097,19.66741,19.41682,756,301,2,351,4320085182864400384,"QSO",4.238668,3837,55572,26
"9079",1237648720688775424,168.437429958966,-0.513057120909975,21.74805,20.96568,21.05176,21.02267,20.61104,756,301,2,351,4320084633108586496,"QSO",2.229953,3837,55572,24
